,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,Name,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,"Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker5","Tracker Nico:Marker5","Tracker Nico:Marker5"
,ID,"8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4469,37.241667,-0.041404,-0.106644,0.856235,0.503761,-344.018158,850.360291,45.583183,-372.768066,849.384827,39.621376,-345.104156,868.528503,43.521942,-352.569733,848.283875,65.909058,-337.308258,825.150879,36.305798,-312.340393,860.453430,42.557796
4470,37.250000,-0.039537,-0.105747,0.856487,0.503671,-335.627441,850.177856,45.843750,-364.400848,849.183044,39.999630,-336.735199,868.345886,43.792175,-344.094025,848.089478,66.203934,-328.937164,824.976013,36.531704,-303.969696,860.295105,42.691349
4471,37.258333,-0.037399,-0.104371,0.857327,0.502692,-327.332672,849.986267,45.987854,-356.131439,848.906189,40.285488,-328.502563,868.150024,43.933529,-335.693268,847.883057,66.390297,-320.615936,824.799377,36.654480,-295.719940,860.192688,42.675533
4472,37.266667,-0.034285,-0.101857,0.857709,0.502777,-319.020752,849.703491,46.029316,-347.862946,848.596252,40.556393,-320.219696,867.863831,43.961624,-327.218140,847.620056,66.499886,-312.360321,824.509644,36.674541,-287.442444,859.927795,42.454163
4473,37.275000,-0.030724,-0.102027,0.857898,0.502650,-310.566406,849.585510,46.150311,-339.439270,848.465942,40.844112,-311.798157,867.752258,44.159275,-318.639923,847.414490,66.660957,-303.932983,824.435242,36.659908,-279.021454,859.859863,42.427349
4474,37.283333,-0.028569,-0.100680,0.858986,0.501189,-302.007690,849.546082,46.172588,-330.901123,848.309753,41.006165,-303.320923,867.706848,44.179405,-309.973602,847.352600,66.722893,-295.320557,824.417847,36.661537,-270.521942,859.943420,42.292992
4475,37.291667,-0.026351,-0.100878,0.859184,0.500932,-293.464935,849.412170,46.100826,-322.375305,848.156921,41.034489,-294.805115,867.576416,44.157936,-301.355011,847.158447,66.673859,-286.784424,824.315186,36.502918,-262.004639,859.853882,42.134968
4476,37.300000,-0.024422,-0.097133,0.860095,0.500205,-284.851410,849.294312,46.049099,-313.793274,847.947571,41.190483,-286.248138,867.445984,44.029961,-292.592682,847.119507,66.687065,-278.178406,824.167908,36.523296,-253.444321,859.790649,41.814728
4477,37.308333,-0.020951,-0.096681,0.860582,0.499613,-276.263153,849.036987,45.869740,-305.232269,847.640015,41.190907,-277.711670,867.190735,43.906281,-283.868835,846.792603,66.550598,-269.596619,823.949646,36.237160,-244.906158,859.612183,41.463779
4478,37.316667,-0.019745,-0.094355,0.861144,0.499138,-267.580383,848.694336,45.606724,-296.567322,847.239990,41.057606,-269.065033,866.840027,43.596512,-275.093048,846.498962,66.326828,-260.917450,823.588928,36.018707,-236.258926,859.303894,41.034012
4479,37.325000,-0.015098,-0.092621,0.861263,0.499419,-259.018829,848.209229,45.309418,-288.048309,846.749207,41.041973,-260.530975,866.357483,43.343651,-266.327271,845.976501,66.098457,-252.439178,823.122559,35.615383,-227.748260,858.840332,40.447651
4480,37.333333,-0.012409,-0.092584,0.860722,0.500432,-250.174164,847.730347,45.003807,-279.226501,846.333862,40.872978,-251.663208,865.886658,43.095291,-257.385956,845.453369,65.821777,-243.686554,822.658813,35.209091,-218.908417,858.319092,40.019928
4481,37.341667,-0.009224,-0.091687,0.861312,0.499651,-241.539932,847.039124,44.580132,-270.613953,845.575989,40.628780,-243.086212,865.194458,42.708584,-248.615707,844.712708,65.439262,-235.051071,821.998718,34.706940,-210.332504,857.713684,39.417126
4482,37.350000,-0.006232,-0.091319,0.861329,0.499735,-232.935745,846.276611,44.008354,-262.030609,844.810608,40.214619,-234.499786,864.435730,42.188190,-239.894958,843.898193,64.900803,-226.491440,821.262329,34.040401,-201.761749,856.976501,38.697800
4483,37.358333,-0.002485,-0.092163,0.861728,0.498924,-224.237869,845.510620,43.460175,-253.349335,843.991089,39.817944,-225.856827,863.674744,41.741631,-231.076691,843.007996,64.377861,-217.786301,820.563721,33.329151,-193.120010,856.315552,38.034317
4484,37.366667,-0.001998,-0.087880,0.862128,0.499008,-215.517517,844.623535,42.855785,-244.646759,843.069824,39.373688,-217.151459,862.774780,41.019051,-222.248077,842.264709,63.825226,-209.109497,819.608704,32.865849,-184.431595,855.399902,37.195133
4485,37.375000,0.003285,-0.089143,0.861547,0.499780,-206.757538,843.831848,42.205696,-235.915192,842.332153,38.944698,-208.387772,861.997986,40.519180,-213.322968,841.320923,63.209808,-200.454681,818.887085,31.976305,-175.706909,854.621155,36.378510
4486,37.383333,0.004984,-0.086211,0.862806,0.498104,-198.005630,842.898560,41.461025,-227.173889,841.257141,38.367516,-199.726532,861.051086,39.719021,-204.443222,840.433594,62.510101,-191.647903,817.945740,31.285517,-167.036407,853.805298,35.422997
4487,37.391667,0.008774,-0.085256,0.862444,0.498843,-189.180084,842.017639,40.690594,-218.372681,840.411133,37.815941,-190.896423,860.175598,39.001305,-195.459503,839.512939,61.782719,-182.924545,817.080994,30.412584,-158.247116,852.907715,34.440453
4488,37.400000,0.012421,-0.085701,0.862552,0.498503,-180.353241,841.239319,39.767563,-209.559891,839.606873,37.054779,-182.102844,859.402222,38.168098,-186.507172,838.633728,60.884434,-174.125015,816.356323,29.343981,-149.471085,852.197571,33.386559
4489,37.408333,0.014919,-0.083331,0.863097,0.497893,-171.547775,840.546021,38.914555,-200.768082,838.848328,36.396030,-173.345718,858.702515,37.296272,-177.557755,837.963196,60.075634,-165.336060,815.658508,28.491919,-140.731033,851.557617,32.312939
4490,37.416667,0.017801,-0.082266,0.863037,0.498078,-162.807129,839.868042,38.013924,-192.041962,838.169067,35.670998,-164.617218,858.026001,36.425415,-168.688248,837.262512,59.208397,-156.655502,814.992188,27.527979,-132.032455,850.890686,31.236860
4491,37.425000,0.021305,-0.080181,0.863204,0.497992,-154.077484,839.331177,37.057076,-183.328705,837.603577,34.951366,-155.917938,857.487122,35.480946,-159.784134,836.722778,58.298847,-147.987045,814.459778,26.524830,-123.369408,850.382568,30.029409
4492,37.433333,0.022744,-0.077481,0.863280,0.498224,-145.534653,838.707275,36.158443,-174.796387,836.972534,34.210762,-147.383804,856.858032,34.532906,-151.130493,836.167908,57.438019,-139.498428,813.801880,25.675528,-114.863914,849.736145,28.935019
4493,37.441667,0.027732,-0.078632,0.863828,0.496839,-137.042816,838.341614,35.154140,-166.311386,836.512634,33.405552,-138.969635,856.496216,33.668179,-142.475250,835.634399,56.455364,-130.992188,813.531799,24.455111,-106.465446,849.533081,27.786524
4494,37.450000,0.029812,-0.076740,0.863885,0.496916,-128.613510,837.954712,34.121929,-157.890579,836.113281,32.536068,-130.554993,856.106812,32.624481,-133.928101,835.271545,55.455894,-122.612701,813.134033,23.420057,-98.081024,849.148010,26.573172
4495,37.458333,0.032598,-0.075003,0.863812,0.497133,-120.287109,837.655396,33.152660,-149.573807,835.811157,31.759790,-122.239906,855.806946,31.663782,-125.461060,834.976746,54.521732,-114.354721,812.832703,22.417341,-89.805862,848.849426,25.400669
4496,37.466667,0.033967,-0.073528,0.864421,0.496201,-112.091507,837.484192,32.112251,-141.378357,835.564636,30.828659,-114.095436,855.628967,30.608480,-117.180634,834.818665,53.503326,-106.135849,812.663391,21.385475,-81.667053,848.745361,24.235334
4497,37.475000,0.036472,-0.071764,0.865067,0.495155,-104.003334,837.339417,31.002478,-133.291458,835.333130,29.892355,-106.069412,855.477356,29.500034,-108.958672,834.671753,52.424667,-98.037933,812.529785,20.255190,-73.658989,848.685181,22.940151
4498,37.483333,0.039395,-0.071663,0.865100,0.494889,-95.984108,837.306641,29.971983,-125.275703,835.276245,29.006203,-98.074394,855.446716,28.529764,-100.827316,834.575806,51.411865,-90.051170,812.531982,19.126476,-65.691780,848.702515,21.785624
4499,37.491667,0.041912,-0.069321,0.865236,0.494778,-88.043541,837.187561,28.833618,-117.339096,835.130249,28.065794,-90.159264,855.323547,27.376883,-92.741730,834.486389,50.309475,-82.161102,812.401123,17.987776,-57.816307,848.596802,20.428177
4500,37.500000,0.045344,-0.070019,0.865647,0.493657,-80.052917,837.313965,27.726044,-109.346214,835.178894,27.096640,-82.225937,855.450500,26.364319,-84.634850,834.500183,49.212566,-74.157242,812.594421,16.735542,-49.900166,848.845886,19.221157
4501,37.508333,0.045719,-0.067930,0.865864,0.493534,-72.055466,837.333008,26.526974,-101.348900,835.176453,25.982916,-74.244308,855.463562,25.111864,-76.578041,834.586426,48.034756,-66.172562,812.581665,15.601502,-41.933311,848.857117,17.903845
4502,37.516667,0.048760,-0.067452,0.865708,0.493581,-63.990883,837.500732,25.365480,-93.286491,835.338684,24.985386,-66.191742,855.633850,24.002745,-68.388939,834.705994,46.892876,-58.165668,812.774719,14.352087,-33.921375,849.050598,16.594324
4503,37.525000,0.051677,-0.065149,0.866420,0.492343,-55.810055,837.670349,24.140701,-85.099953,835.406494,23.970627,-58.083412,855.794189,22.774199,-60.045738,834.883911,45.701714,-49.977283,812.952515,13.112745,-25.843699,849.314575,15.144228
4504,37.533333,0.052475,-0.064551,0.866877,0.491532,-47.527870,837.814453,22.852112,-76.813385,835.491394,22.735840,-49.840328,855.933411,21.485680,-51.718681,835.024414,44.421421,-41.665222,813.106018,11.819118,-17.601528,849.517151,13.798515
4505,37.541667,0.056337,-0.063176,0.867276,0.490578,-39.185261,838.050842,21.494619,-68.464447,835.648987,21.605724,-41.557034,856.165466,20.173103,-43.198376,835.218323,43.092163,-33.343502,813.374268,10.379433,-9.362737,849.847229,12.222683
4506,37.550000,0.058932,-0.062229,0.866318,0.492086,-30.675070,838.242981,20.059425,-59.960503,835.932434,20.336288,-32.997776,856.366028,18.766842,-34.573238,835.404358,41.677212,-24.974192,813.557983,8.890079,-0.869440,849.954346,10.626716
4507,37.558333,0.059581,-0.059722,0.866666,0.491704,-22.291040,838.452148,18.655165,-51.572090,836.102417,19.043226,-24.643381,856.567078,17.303686,-26.109577,835.688232,40.296829,-16.595074,813.733765,7.557313,7.465120,850.169434,9.074770
4508,37.566667,0.062307,-0.056760,0.866744,0.491580,-13.741736,838.675598,17.089256,-43.016670,836.298706,17.706036,-16.122053,856.784912,15.711451,-17.392694,835.961121,38.766071,-8.106195,813.935608,6.008811,15.929132,850.397949,7.253924
4509,37.575000,0.064918,-0.056460,0.867103,0.490644,-5.168355,838.932190,15.445040,-34.434536,836.486206,16.193365,-7.596810,857.038879,14.116903,-8.711746,836.163330,37.132828,0.472364,814.228760,4.285784,24.429152,850.744019,5.496319
4510,37.583333,0.068479,-0.055149,0.867026,0.490444,3.471332,839.265503,13.911503,-25.786388,836.793762,14.874734,1.017853,857.371765,12.624300,0.091945,836.466492,35.621574,9.049488,814.580933,2.679435,32.983963,851.114868,3.757471
4511,37.591667,0.071855,-0.053364,0.866796,0.490565,12.154303,839.608093,12.209133,-17.094749,837.130798,13.395587,9.687780,857.714111,10.944809,8.941591,836.803528,33.943790,17.650831,814.927002,0.929172,41.586262,851.465088,1.832308
4512,37.600000,0.073637,-0.049939,0.867272,0.489820,20.947620,839.946167,10.517206,-8.287213,837.402832,11.898325,18.428783,858.040771,9.193791,17.878729,837.223877,32.283073,26.433527,815.231995,-0.695299,50.284473,851.831482,-0.093867
4513,37.608333,0.077398,-0.050553,0.867571,0.488646,29.910019,840.397034,8.671074,0.690347,837.770081,10.207899,27.336535,858.491272,7.450841,26.973778,837.560425,30.440647,35.395443,815.752441,-2.693758,59.154190,852.411133,-2.050258
4514,37.616667,0.081872,-0.048189,0.867312,0.488615,38.807056,840.881653,6.839558,9.606041,838.236084,8.670930,36.210190,858.974548,5.650928,36.092827,838.036743,28.636839,44.192520,816.243835,-4.587674,67.933899,852.917114,-4.173237
4515,37.625000,0.082550,-0.045014,0.867364,0.488711,47.737934,841.315125,4.899788,18.546295,838.665161,6.869014,45.127319,859.400879,3.634275,45.118370,838.575073,26.722073,53.086273,816.624512,-6.430395,76.811615,853.310242,-6.296034
4516,37.633333,0.085289,-0.043251,0.867145,0.488790,56.603725,841.798157,2.960328,27.426044,839.143494,5.120711,53.981537,859.882935,1.705100,54.126919,839.065796,24.800238,61.882748,817.104309,-8.395240,85.601585,853.794434,-8.429174
4517,37.641667,0.088070,-0.041397,0.866313,0.489931,65.382706,842.251465,1.083168,36.214710,839.663452,3.445798,62.792324,860.341309,-0.165333,63.050068,839.537964,22.941307,70.528358,817.538940,-10.292955,94.328255,854.175903,-10.512980
4518,37.650000,0.091980,-0.041298,0.866116,0.489569,74.070000,842.687805,-0.815562,44.920925,840.067932,1.737836,71.457306,860.780090,-1.978512,71.889824,839.890808,21.047781,79.156120,818.021973,-12.319205,102.926018,854.678284,-12.565722
4519,37.658333,0.095113,-0.037593,0.866491,0.488605,82.513039,843.000427,-2.886218,53.395824,840.302490,-0.064847,79.835991,861.081055,-4.083566,80.535934,840.267273,19.004499,87.570343,818.312866,-14.355956,111.227333,855.038452,-14.931228
4520,37.666667,0.097668,-0.035777,0.866361,0.488466,90.945168,843.378906,-4.811433,61.847813,840.663757,-1.807464,88.248901,861.457092,-6.003195,89.105957,840.658020,17.092827,95.947220,818.687561,-16.297260,119.576157,855.428223,-17.042082
4521,37.675000,0.099667,-0.036381,0.866476,0.487813,99.184830,843.728394,-6.752495,70.099487,840.966797,-3.675418,96.462395,861.806763,-7.880280,97.410583,840.936890,15.148235,104.185799,819.079346,-18.329288,127.766106,855.852112,-19.025738
4522,37.683333,0.103463,-0.032382,0.865840,0.488434,107.237701,843.852539,-8.763651,78.185112,841.119812,-5.367895,104.514374,861.928833,-9.922182,105.695129,841.134521,13.163853,112.100128,819.162170,-20.311438,135.693985,855.917358,-21.380610
4523,37.691667,0.106879,-0.031282,0.865743,0.487942,115.216316,844.268921,-10.720402,86.191429,841.495789,-7.126238,112.463257,862.343689,-11.831963,113.830093,841.515381,11.213099,120.027672,819.602295,-22.339979,143.569321,856.387634,-23.516941
4524,37.700000,0.111336,-0.032048,0.865389,0.487524,123.028435,844.482788,-12.649140,94.030815,841.674011,-8.867515,120.259087,862.562256,-13.636689,121.797516,841.601624,9.277239,127.769783,819.886292,-24.444811,151.285172,856.689880,-25.573940
4525,37.708333,0.110780,-0.029172,0.864911,0.488678,130.673965,844.590088,-14.663730,101.678917,841.857117,-10.807527,127.936111,862.668701,-15.749596,129.482178,841.837219,7.281285,135.345779,819.917419,-26.327362,158.926987,856.670044,-27.715467
4526,37.716667,0.113261,-0.028877,0.864949,0.488058,138.146408,844.838745,-16.627621,109.172783,842.059509,-12.645630,135.379898,862.915894,-17.663965,137.057816,842.039429,5.316874,142.797745,820.196228,-28.362915,166.324051,856.982788,-29.782486
4527,37.725000,0.115575,-0.027536,0.863879,0.489487,145.462326,844.952209,-18.594545,116.503189,842.263489,-14.448342,142.745651,863.037476,-19.621264,144.488876,842.163147,3.356665,149.971527,820.291809,-30.347715,173.602570,857.005310,-31.912096
4528,37.733333,0.116969,-0.022101,0.864363,0.488575,152.476028,844.939575,-20.429737,123.558372,842.186462,-16.043238,149.690002,863.007019,-21.577387,151.677917,842.319763,1.549386,156.980438,820.202881,-32.023331,180.473602,856.981934,-34.054138
4529,37.741667,0.120911,-0.022227,0.862441,0.491002,159.160065,845.253601,-22.173321,130.259064,842.655701,-17.586887,156.473190,863.341187,-23.236284,158.505478,842.559204,-0.198465,163.433411,820.532654,-33.887440,187.129349,857.179199,-35.957554
4530,37.750000,0.121801,-0.020879,0.863592,0.488813,165.396439,845.373962,-23.915899,136.521011,842.628296,-19.255112,162.611588,863.446106,-24.989658,164.810608,842.697754,-1.936888,169.770996,820.664490,-35.616711,193.268173,857.433350,-37.781158
4531,37.758333,0.124438,-0.020672,0.863255,0.488753,171.287628,845.430237,-25.421316,142.434875,842.675842,-20.627104,168.498917,863.504944,-26.440941,170.807907,842.704590,-3.445804,175.603775,820.746826,-37.198696,199.092834,857.519104,-39.394058
4532,37.766667,0.123634,-0.018520,0.862922,0.489630,176.866745,845.378113,-26.945183,148.014374,842.684998,-22.114069,174.101334,863.451538,-28.047546,176.401810,842.756592,-4.956694,181.140030,820.633789,-38.609848,204.676361,857.363831,-40.997784
4533,37.775000,0.127985,-0.019028,0.862491,0.489252,181.947754,845.425293,-28.170156,153.131104,842.698608,-23.148432,179.170074,863.503479,-29.158024,181.639679,842.688293,-6.192980,186.144241,820.743713,-39.994522,209.653854,857.492493,-42.356857
4534,37.783333,0.128680,-0.016882,0.862496,0.489139,186.613403,845.439331,-29.323271,157.815582,842.705505,-24.198513,183.818405,863.512268,-30.356035,186.379807,842.767883,-7.337112,190.790176,820.725708,-41.087540,214.263229,857.485291,-43.637180
4535,37.791667,0.129759,-0.017585,0.862563,0.488710,190.949875,845.449341,-30.320766,162.159729,842.684265,-25.169664,188.141785,863.522827,-31.307392,190.743179,842.725525,-8.340765,195.129517,820.766479,-42.148495,218.575394,857.547607,-44.637554
4536,37.800000,0.130258,-0.015255,0.862911,0.488041,194.915100,845.475403,-31.160280,166.146576,842.666931,-25.912695,192.065704,863.539490,-32.199257,194.780624,842.825378,-9.170698,199.111313,820.761658,-42.917416,222.471497,857.583557,-45.601360
4537,37.808333,0.132746,-0.015584,0.862650,0.487823,198.577301,845.434937,-31.929634,169.830490,842.607056,-26.574699,195.721832,863.501831,-32.901791,198.531784,842.717590,-9.947916,202.728653,820.757874,-43.779217,226.073929,857.590576,-46.444576
4538,37.816667,0.130894,-0.015838,0.863104,0.487512,201.919708,845.219299,-32.517250,173.156357,842.373718,-27.261370,199.052307,863.282471,-33.523113,201.797943,842.530457,-10.532314,206.134445,820.530396,-44.319805,229.457657,857.379639,-46.949680
4539,37.825000,0.132250,-0.015598,0.862952,0.487423,205.093506,845.143433,-33.090405,176.344284,842.289734,-27.762072,202.221527,863.207214,-34.071880,205.029480,842.433960,-11.107748,209.280090,820.466064,-44.927010,232.592346,857.320313,-47.583344
4540,37.833333,0.133843,-0.015567,0.863212,0.486528,207.989258,845.005798,-33.450809,179.259796,842.089478,-28.050379,205.081161,863.065857,-34.393295,207.989243,842.258362,-11.472786,212.189804,820.356750,-45.341316,235.426468,857.258789,-47.996292
4541,37.841667,0.133531,-0.014598,0.863232,0.486608,210.890335,844.819641,-33.924240,182.163422,841.910400,-28.506479,207.979523,862.877441,-34.901669,210.899490,842.116089,-11.940776,215.089340,820.147400,-45.767124,238.320129,857.047058,-48.505188
4542,37.850000,0.134283,-0.015134,0.863683,0.485583,213.708984,844.666809,-34.189842,184.991623,841.687195,-28.759701,210.759827,862.720337,-35.130821,213.737625,841.921204,-12.211610,217.952042,820.026184,-46.082638,241.103989,856.979492,-48.764469
4543,37.858333,0.134707,-0.014737,0.863526,0.485757,216.509247,844.394531,-34.527866,187.797226,841.426208,-29.063324,213.565048,862.448669,-35.471100,216.562592,841.655762,-12.548818,220.730209,819.748657,-46.417831,243.891373,856.693359,-49.138298
4544,37.866667,0.136297,-0.011825,0.863210,0.485954,219.352921,843.993774,-34.822746,190.672897,841.039795,-29.185162,216.399918,862.044006,-35.812965,219.531311,841.332642,-12.834826,223.511215,819.306824,-46.649418,246.649429,856.245728,-49.631390
4545,37.875000,0.138248,-0.014269,0.863257,0.485254,222.208313,843.823303,-35.028225,193.535614,840.815552,-29.381840,219.242966,861.877502,-35.901787,222.409576,841.023682,-13.057703,226.370804,819.214111,-47.014305,249.482788,856.185852,-49.785534
4546,37.883333,0.138174,-0.013654,0.862759,0.486178,225.072891,843.398865,-35.219677,196.398102,840.453613,-29.551014,222.141464,861.457458,-36.116199,225.282776,840.629089,-13.245454,229.180771,818.765259,-47.174511,252.361542,855.688965,-50.011238
4547,37.891667,0.139033,-0.012134,0.863385,0.484860,227.831711,843.071106,-35.471127,199.182571,840.038757,-29.719292,224.837769,861.118530,-36.385498,228.111221,840.333801,-13.493610,231.988632,818.434082,-47.401844,255.038559,855.430420,-50.355415
4548,37.900000,0.140726,-0.011283,0.863209,0.484705,230.582199,842.674866,-35.589195,201.956207,839.630493,-29.729404,227.578033,860.721436,-36.488232,230.946091,839.932861,-13.613500,234.703079,818.041992,-47.541031,257.727753,855.047668,-50.573853
4549,37.908333,0.140650,-0.011258,0.862859,0.485351,233.247757,842.327148,-35.607101,204.617447,839.325989,-29.746231,230.269730,860.377747,-36.511353,233.607849,839.590942,-13.630610,237.332870,817.684814,-47.551804,260.411072,854.656250,-50.595528
4550,37.916667,0.141738,-0.011204,0.862755,0.485220,235.822083,841.901978,-35.591408,207.203781,838.890198,-29.677574,232.839340,859.953003,-36.471725,236.225586,839.143799,-13.618423,239.887848,817.272339,-47.568798,262.954041,854.250610,-50.620552
4551,37.925000,0.142422,-0.011467,0.862440,0.485575,238.367310,841.506836,-35.531818,209.752106,838.516968,-29.591820,235.401337,859.561707,-36.390606,238.790558,838.725830,-13.562091,242.396744,816.885559,-47.538567,265.495941,853.844360,-50.576042
4552,37.933333,0.145036,-0.010706,0.861677,0.486171,240.834167,841.170471,-35.363033,212.247513,838.216858,-29.269543,237.890533,859.230652,-36.186253,241.373581,838.365112,-13.398947,244.760956,816.556213,-47.417999,267.898438,853.483826,-50.542461
4553,37.941667,0.144924,-0.010407,0.861677,0.486212,243.305283,840.844604,-35.141270,214.719269,837.894409,-29.043053,240.361313,858.904175,-35.975693,243.846939,838.053284,-13.175452,247.231216,816.222717,-47.180954,270.367859,853.148621,-50.331234
4554,37.950000,0.146929,-0.009768,0.861547,0.485853,245.733017,840.560791,-34.892147,217.174408,837.584167,-28.679409,242.772720,858.619019,-35.697205,246.366882,837.748901,-12.931416,249.627106,815.953186,-46.971390,272.724182,852.898804,-50.181347
4555,37.958333,0.146639,-0.010488,0.861456,0.486087,248.220123,840.370361,-34.541477,219.652176,837.408508,-28.364729,245.273544,858.431396,-35.333870,248.826355,837.538391,-12.582539,252.110870,815.770813,-46.638126,275.237823,852.702820,-49.788155
4556,37.966667,0.147071,-0.008667,0.861239,0.486377,250.725418,840.308044,-34.126911,222.173050,837.368347,-27.868134,247.779739,858.367310,-34.962242,251.387924,837.537537,-12.161775,254.580917,815.674072,-46.164669,277.705627,852.593262,-49.477776
4557,37.975000,0.148408,-0.006957,0.860149,0.487924,253.235611,840.273865,-33.750587,224.701279,837.438660,-27.362652,250.344070,858.340698,-34.610909,253.984100,837.546753,-11.782773,256.960388,815.602722,-45.753399,280.188416,852.440674,-49.243237
4558,37.983333,0.150451,-0.006921,0.859843,0.487839,255.689972,840.509216,-33.133595,227.178757,837.664612,-26.647436,252.797424,858.578003,-33.947926,256.518066,837.738953,-11.174046,259.368195,815.861328,-45.198288,282.587646,852.703430,-48.700321
4559,37.991667,0.151153,-0.005775,0.859209,0.488753,258.016937,840.810486,-32.563023,229.517059,838.028320,-26.000399,255.155472,858.883240,-33.398125,258.895538,838.072632,-10.601355,261.619385,816.137207,-44.598644,284.897461,852.931152,-48.216629
4560,38.000000,0.152525,-0.005399,0.858509,0.489561,260.243408,841.215637,-31.795822,231.757629,838.485840,-25.150537,257.414673,859.294312,-32.614285,261.181366,838.466003,-9.838085,263.762390,816.540894,-43.853207,287.101227,853.291138,-47.523037
4561,38.008333,0.153443,-0.003092,0.857518,0.491028,262.243652,841.710083,-30.917059,233.778320,839.082764,-24.144102,259.461578,859.793579,-31.787123,263.265289,839.034607,-8.953907,265.644135,816.983704,-42.902397,289.069153,853.655884,-46.797806
4562,38.016667,0.154467,-0.003144,0.857379,0.490949,264.032166,842.332825,-29.858437,235.578659,839.698181,-23.038713,261.248779,860.417358,-30.703369,265.092133,839.632751,-7.900111,267.411407,817.619873,-41.877407,290.830017,854.296143,-45.772621
4563,38.025000,0.153533,-0.002668,0.857450,0.491122,265.512115,843.098145,-28.599047,237.050522,840.478149,-21.807493,262.731262,861.181396,-29.479519,266.546478,840.437256,-6.634716,268.903107,818.363464,-40.569912,292.329376,855.030762,-44.503628
4564,38.033333,0.155017,-0.002151,0.856985,0.491470,266.752228,844.039734,-27.222914,238.310165,841.441772,-20.341629,263.984619,862.125793,-28.086067,267.854431,841.367615,-5.263247,270.082977,819.307617,-39.216084,293.529053,855.955994,-43.207584
4565,38.041667,0.155461,-0.001894,0.857329,0.490729,267.810333,844.981567,-25.615078,239.378952,842.333984,-18.708673,265.011414,863.063110,-26.471678,268.936920,842.306396,-3.657017,271.172058,820.257813,-37.616791,294.552551,856.946655,-41.621269
4566,38.050000,0.155329,-0.001003,0.857929,0.489724,268.699554,846.072998,-23.866461,240.278275,843.361084,-16.943451,265.853394,864.146057,-24.746128,269.843079,843.430359,-1.905337,272.119812,821.341858,-35.836407,295.403412,858.085632,-39.901024
4567,38.058333,0.155929,-0.001217,0.856915,0.491306,269.306213,847.402588,-21.963402,240.882797,844.794678,-15.009248,266.527283,865.486694,-22.831444,270.464752,844.745361,-0.004824,272.619507,822.664307,-33.948704,296.036926,859.321960,-38.022835
4568,38.066667,0.154812,-0.000401,0.857461,0.490707,269.806122,848.871582,-19.980963,241.378540,846.228210,-13.057259,266.995514,866.948547,-20.894361,270.941193,846.267151,1.985166,273.179688,824.111816,-31.904799,296.535828,860.802368,-36.033600
4569,38.075000,0.154044,0.000551,0.857665,0.490593,270.162170,850.408752,-17.760088,241.733322,847.762024,-10.842847,267.339569,868.481567,-18.717272,271.289215,847.856812,4.212614,273.558075,825.623291,-29.624126,296.890839,862.320129,-33.828850
4570,38.083333,0.154727,0.000140,0.857585,0.490517,270.399261,852.112427,-15.544048,241.975723,849.458130,-8.607984,267.577271,870.186829,-16.473684,271.543549,849.529602,6.424154,273.783936,827.343323,-27.445473,297.116089,864.044312,-31.617298
4571,38.091667,0.153494,0.002034,0.858283,0.489679,270.585419,853.895325,-13.170363,242.165848,851.193176,-6.236482,267.714935,871.957886,-14.177208,271.726196,851.407898,8.809029,274.042786,829.085754,-24.966087,297.277496,865.831970,-29.281105
