,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,Name,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,"Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker5","Tracker Nico:Marker5","Tracker Nico:Marker5"
,ID,"8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
26,0.216667,-0.006921,-0.000733,0.005736,-0.999959,66.563110,911.022156,27.817501,79.855293,937.220032,27.621086,82.763367,903.753174,23.320267,69.750626,914.403625,49.473618,41.059185,919.599670,21.291990,59.387077,880.133911,17.380531
27,0.225000,-0.006244,-0.001068,0.006295,-0.999960,66.535995,911.029419,27.837179,79.857193,937.212219,27.596230,82.725052,903.736328,23.338680,69.742142,914.436584,49.486515,41.037163,919.626465,21.317553,59.318428,880.135132,17.446913
28,0.233333,-0.005427,-0.000299,0.006159,-0.999966,66.536644,911.061707,27.890738,79.851303,937.247620,27.627153,82.734497,903.765564,23.429010,69.708748,914.505310,49.539330,41.045555,919.641235,21.317978,59.343121,880.148499,17.540213
29,0.241667,-0.006900,-0.000829,0.005651,-0.999960,66.589630,911.008789,27.812775,79.877304,937.208923,27.612753,82.790276,903.742432,23.312748,69.780701,914.391724,49.468147,41.082993,919.581665,21.291779,59.416889,880.118896,17.378441
30,0.250000,-0.006232,-0.001084,0.006199,-0.999961,66.546677,911.022217,27.837814,79.862801,937.207642,27.595879,82.737022,903.732239,23.338989,69.752823,914.430542,49.486980,41.045979,919.614258,21.318768,59.334774,880.126343,17.448452
31,0.258333,-0.006740,0.000186,0.005424,-0.999963,66.594543,911.052002,27.850996,79.871078,937.257935,27.669277,82.807480,903.791260,23.386312,69.740112,914.443481,49.511681,41.097450,919.611450,21.275337,59.456589,880.155518,17.412365
32,0.266667,-0.006920,-0.000803,0.005708,-0.999959,66.555840,911.022827,27.815815,79.846497,937.221558,27.617493,82.755890,903.754822,23.316339,69.746178,914.404541,49.471481,41.050514,919.598877,21.293842,59.380135,880.134216,17.379913
33,0.275000,-0.005709,-0.000733,0.006140,-0.999965,66.544220,911.041931,27.857508,79.857521,937.228577,27.597345,82.738518,903.749023,23.377611,69.734901,914.473267,49.505310,41.047089,919.624146,21.311697,59.343075,880.134277,17.495577
34,0.283333,-0.006538,-0.000443,0.005727,-0.999962,66.557808,911.039246,27.831675,79.849754,937.237183,27.622763,82.760750,903.767029,23.349348,69.732826,914.437439,49.487019,41.057522,919.611328,21.284906,59.388199,880.142944,17.414331
35,0.291667,-0.006853,-0.000601,0.005174,-0.999963,66.610504,911.039978,27.858900,79.873322,937.252808,27.662497,82.820129,903.788635,23.367062,69.788345,914.428040,49.515415,41.098747,919.587952,21.325293,59.471996,880.142334,17.424225
36,0.300000,-0.006135,-0.001080,0.006163,-0.999962,66.546906,911.027832,27.842087,79.861145,937.214111,27.595150,82.737793,903.738159,23.344790,69.752647,914.440552,49.490608,41.045631,919.616760,21.321199,59.337292,880.129395,17.458683
37,0.308333,-0.006872,-0.000642,0.005266,-0.999962,66.613960,911.041992,27.857658,79.881592,937.252319,27.661146,82.821877,903.787781,23.364176,69.794235,914.428589,49.514042,41.103218,919.594910,21.326523,59.468872,880.145996,17.422394
38,0.316667,-0.006900,-0.000718,0.005627,-0.999960,66.558044,911.017822,27.815603,79.844513,937.218689,27.618473,82.760033,903.752258,23.319199,69.744141,914.401001,49.471672,41.052460,919.589478,21.288912,59.389099,880.127625,17.379745
39,0.325000,-0.006792,-0.000693,0.005630,-0.999961,66.565552,911.026428,27.823341,79.852211,937.227112,27.621233,82.767708,903.759705,23.329300,69.750595,914.414185,49.478844,41.060341,919.596863,21.293545,59.396908,880.133972,17.393776
40,0.333333,-0.006816,-0.000785,0.005691,-0.999960,66.571892,911.027283,27.822317,79.861694,937.226440,27.619003,82.772331,903.758911,23.324915,69.761368,914.413635,49.477390,41.066513,919.601135,21.297676,59.397552,880.136230,17.392595
